iter	Passed	Remaining
0	171	343486
1	198	197983
2	226	151049
3	254	126913
4	279	111475
5	303	100808
6	339	96713
7	364	90651
8	387	85757
9	413	82221
10	437	79092
11	462	76568
12	485	74262
13	509	72319
14	534	70684
15	560	69526
16	586	68394
17	617	68020
18	649	67670
19	682	67550
20	715	67444
21	774	69608
22	815	70109
23	846	69673
24	875	69130
25	901	68431
26	926	67695
27	962	67814
28	999	67963
29	1025	67352
30	1062	67466
31	1090	67075
32	1114	66456
33	1141	65994
34	1166	65467
35	1192	65056
36	1217	64612
37	1242	64157
38	1282	64483
39	1315	64451
40	1349	64490
41	1383	64511
42	1419	64597
43	1453	64629
44	1489	64721
45	1525	64791
46	1555	64652
47	1580	64291
48	1619	64467
49	1644	64131
50	1681	64251
51	1708	63990
52	1732	63656
53	1758	63356
54	1783	63074
55	1809	62809
56	1845	62925
57	1893	63384
58	1940	63846
59	1987	64255
60	2033	64647
61	2080	65020
62	2126	65371
63	2171	65679
64	2219	66083
65	2267	66439
66	2311	66698
67	2358	67006
68	2404	67278
69	2450	67567
70	2497	67849
71	2543	68110
72	2589	68368
73	2643	68807
74	2690	69063
75	2738	69337
76	2787	69619
77	2833	69830
78	2882	70091
79	2928	70279
80	2974	70469
81	3021	70664
82	3068	70861
83	3115	71063
84	3163	71264
85	3214	71530
86	3259	71672
87	3306	71847
88	3351	71961
89	3395	72053
90	3440	72177
91	3485	72293
92	3531	72412
93	3578	72563
94	3627	72747
95	3673	72858
96	3720	72994
97	3767	73117
98	3815	73262
99	3861	73376
100	3908	73496
101	3956	73621
102	4001	73698
103	4048	73799
104	4093	73876
105	4139	73969
106	4184	74027
107	4230	74113
108	4276	74189
109	4322	74275
110	4367	74319
111	4412	74377
112	4457	74429
113	4503	74500
114	4552	74622
115	4598	74681
116	4645	74759
117	4695	74884
118	4743	74973
119	4788	75027
120	4837	75113
121	4886	75227
122	4932	75264
123	4980	75349
124	5024	75360
125	5070	75406
126	5119	75497
127	5166	75557
128	5212	75604
129	5245	75457
130	5270	75189
131	5295	74934
132	5319	74671
133	5343	74411
134	5369	74174
135	5394	73939
136	5418	73687
137	5443	73444
138	5468	73214
139	5494	73004
140	5519	72777
141	5543	72536
142	5568	72318
143	5594	72104
144	5619	71890
145	5642	71657
146	5668	71451
147	5692	71239
148	5718	71037
149	5743	70832
150	5769	70641
151	5794	70453
152	5820	70259
153	5845	70066
154	5871	69895
155	5897	69713
156	5922	69525
157	5948	69344
158	5972	69152
159	5997	68969
160	6022	68785
161	6046	68606
162	6083	68558
163	6107	68379
164	6145	68340
165	6181	68299
166	6206	68126
167	6231	67952
168	6268	67910
169	6292	67737
170	6317	67569
171	6354	67531
172	6391	67499
173	6416	67337
174	6453	67299
175	6490	67269
176	6515	67110
177	6539	66941
178	6575	66897
179	6599	66728
180	6635	66687
181	6672	66647
182	6696	66485
183	6733	66460
184	6771	66431
185	6795	66274
186	6832	66243
187	6858	66099
188	6882	65952
189	6907	65799
190	6932	65655
191	6958	65526
192	6983	65387
193	7009	65249
194	7034	65115
195	7060	64983
196	7085	64848
197	7111	64718
198	7137	64592
199	7162	64459
200	7186	64320
201	7223	64295
202	7248	64167
203	7273	64037
204	7298	63905
205	7333	63868
206	7357	63727
207	7382	63606
208	7406	63470
209	7430	63336
210	7455	63213
211	7481	63095
212	7514	63039
213	7558	63083
214	7604	63131
215	7650	63183
216	7695	63229
217	7740	63276
218	7786	63325
219	7832	63371
220	7880	63433
221	7925	63471
222	7968	63498
223	8011	63522
224	8056	63557
225	8100	63581
226	8144	63611
227	8189	63644
228	8235	63688
229	8283	63750
230	8332	63812
231	8377	63845
232	8423	63882
233	8468	63913
234	8511	63928
235	8556	63952
236	8601	63981
237	8644	63998
238	8690	64033
239	8735	64061
240	8779	64078
241	8821	64087
242	8865	64101
243	8909	64118
244	8959	64178
245	9007	64227
246	9065	64341
247	9128	64486
248	9188	64614
249	9249	64749
250	9307	64855
251	9363	64952
252	9414	65005
253	9458	65014
254	9502	65029
255	9550	65060
256	9596	65083
257	9643	65111
258	9689	65136
259	9740	65184
260	9794	65256
261	9842	65290
262	9886	65295
263	9930	65299
264	9974	65307
265	10019	65315
266	10064	65323
267	10109	65331
268	10156	65358
269	10200	65357
270	10246	65372
271	10296	65414
272	10343	65436
273	10393	65468
274	10440	65492
275	10491	65533
276	10538	65552
277	10583	65556
278	10627	65557
279	10671	65551
280	10717	65566
281	10763	65572
282	10806	65565
283	10851	65569
284	10898	65581
285	10944	65589
286	10983	65558
287	11008	65439
288	11033	65323
289	11059	65210
290	11085	65101
291	11124	65073
292	11149	64958
293	11174	64844
294	11199	64730
295	11224	64616
296	11249	64502
297	11273	64390
298	11298	64276
299	11323	64163
300	11348	64056
301	11372	63940
302	11396	63826
303	11433	63788
304	11457	63675
305	11494	63634
306	11533	63601
307	11558	63498
308	11583	63390
309	11608	63282
310	11633	63177
311	11658	63073
312	11682	62966
313	11707	62859
314	11732	62757
315	11757	62655
316	11782	62554
317	11806	62450
318	11832	62352
319	11858	62258
320	11882	62153
321	11906	62046
322	11942	62003
323	11980	61975
324	12004	61867
325	12040	61828
326	12077	61791
327	12114	61753
328	12138	61652
329	12174	61610
330	12210	61571
331	12248	61536
332	12272	61435
333	12308	61393
334	12332	61294
335	12369	61256
336	12406	61220
337	12430	61121
338	12466	61080
339	12490	60984
340	12517	60897
341	12546	60823
342	12571	60729
343	12610	60706
344	12635	60611
345	12671	60571
346	12707	60535
347	12743	60496
348	12779	60456
349	12817	60425
350	12841	60327
351	12865	60232
352	12901	60192
353	12937	60157
354	12974	60122
355	12999	60029
356	13025	59945
357	13050	59856
358	13088	59827
359	13112	59732
360	13137	59644
361	13161	59551
362	13197	59513
363	13235	59488
364	13263	59414
365	13289	59329
366	13323	59286
367	13370	59295
368	13426	59347
369	13484	59403
370	13545	59475
371	13609	59559
372	13666	59613
373	13723	59664
374	13771	59674
375	13815	59672
376	13865	59691
377	13919	59729
378	13973	59763
379	14019	59768
380	14066	59772
381	14110	59767
382	14153	59754
383	14200	59758
384	14244	59752
385	14289	59747
386	14332	59738
387	14379	59740
388	14423	59732
389	14465	59716
390	14509	59707
391	14552	59694
392	14598	59695
393	14642	59684
394	14685	59669
395	14731	59671
396	14775	59660
397	14821	59656
398	14864	59642
399	14908	59634
400	14953	59628
401	14997	59618
